Restaurant ID,Restaurant Name,Restaurant Cuisine,Restaurant Rating,Estimate time of Delivery,Restaurant Distance from Delivery Location,Is promo available,Restaurant latitude,Restaurant longitude,Estimate Delivery Fee,Restaurant Image Link,Promotional Offers
4-CZCFEKMTA6TXRE,Bombay Grill (Restaurant Delivery),Indian,3.5,66,1.197,True,1.287599,103.848244,500,https://food-cms.grab.com/compressed_webp/merchants/4-CZCFEKMTA6TXRE/hero/5001ef6dfecc461cb6f93121efb1447f_1630460697736110984.webp,['mfcPromoTag']
4-CYLJWGEJRP3TJA,Two Wings - North Bridge Road,"Western, Fried Chicken, Drinks & Beverages",4.7,20,0.512,False,1.2912102,103.8503448,,https://food-cms.grab.com/compressed_webp/merchants/4-CYLJWGEJRP3TJA/hero/upload-photo-Hero_Photo_ea428f059dd34da0a0a7d6d67b2cd0c6_1556012404270574503.webp,
SGDD00979,Ramen Matsuri - 7 North Canal Road,"Japanese, Ramen, Noodles",4.6,30,1.324,False,1.285855,103.848906,,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD00979/hero/75r-24bits-100kb-475fb81c6ca45cf095365430bbc7a05195c2119ad85accb05856159aae5ae210-f13944e7fea54cab84c6bd290297db5d_1563782530895019443.jpeg,
4-C6JYG6XUN2MXKA,Kwaasong Bakeshop - Lorong Telok,"Bakery & Cake, Snack, Dessert",5,30,1.421,False,1.286732384,103.8484351,,https://food-cms.grab.com/compressed_webp/merchants/4-C6JYG6XUN2MXKA/hero/23752b6f58c148729f7f37ea52d60641_1711614113552660111.webp,
4-C6EFRUMTJU2JBA,Dapur Penyet - North Bridge Road,"Indonesian, Halal, Seafood",4.2,30,0.505,False,1.291133004612527,103.85015362774963,,https://food-cms.grab.com/compressed_webp/merchants/4-C6EFRUMTJU2JBA/hero/7c4b1a523e424ed4bcb349da2a02dd3d_1708591944632562022.webp,
4-CYUTT6CDJ4ETNT,LeNu Noodle Bar - Funan,"Chinese, Noodles, Ramen",4.6,30,0.506,True,1.2911368749958942,103.85015140082928,,https://food-cms.grab.com/compressed_webp/merchants/4-CYUTT6CDJ4ETNT/hero/d50192c9001b4588bf39f781573e539a_1577414852664700671.webp,"['zeusPromoShortTag', 'mfcPromoTag']"
4-CZD1V32GJVEUCE,Ange Bakes Keto Bakery & Cafe - High Street Plaza,"Mart, Bakery, Dessert, Local, Snacks",4.7,20,0.962,True,1.2905236735827206,103.84928283660275,,https://food-cms.grab.com/compressed_webp/merchants/4-CZD1V32GJVEUCE/hero/cfbef3c82ef5453baec1e8918a964002_1591842854837883418.webp,"['zeusPromoShortTag', 'mfcPromoTag']"
4-C2MUN4CTR2VXWE,O2 Bistro - Boat Quay Conservation Area,"Dessert, Chinese, Western",3.8,25,1.497,False,1.28608714070694,103.84871258957,,https://food-cms.grab.com/compressed_webp/merchants/4-C2MUN4CTR2VXWE/hero/21f3f4d99f9e45a99084615a2ea63fb8_1631674285903762105.webp,
4-CYWKAUBUPEDVJX,Qi Ji - Funan Mall,"Chinese, Halal, Local & Malaysian, Group Friendly",4.6,30,0.512,False,1.291225,103.85029,,https://food-cms.grab.com/compressed_webp/merchants/4-CYWKAUBUPEDVJX/hero/98dd12f8f13447318417005e03285097_1568965204870694985.webp,
4-C3NCCTNHRCDTRE,Naga House - Lorong Telok,"Coffee & Tea, Drinks & Beverages, Japanese Cuisine",5,25,1.417,False,1.286688,103.848414,,https://food-cms.grab.com/compressed_webp/merchants/4-C3NCCTNHRCDTRE/hero/5177b2f64ef646ac89539ee79417095a_1658550707300992482.webp,
4-C6KYCRAKE262EE,Deadfall Mexiporean Hawkeria - North Canal Road,"Mexican, Fusion",,25,1.467,True,1.2862749277280585,103.84859636054836,,https://food-cms.grab.com/compressed_webp/merchants/4-C6KYCRAKE262EE/hero/617c0e8e504542b6b9e8684060b8069c_1714626511281394204.webp,['mfcPromoTag']
4-C6KVLUDEMFWUL2,Deadfall Cafe - North Canal Road,"Breakfast & Brunch, Cafe",5,30,1.44,False,1.2862749277280585,103.84859636054836,,https://food-cms.grab.com/compressed_webp/merchants/4-C6KVLUDEMFWUL2/hero/cd917ef3a3384c069c48ac5735ea7810_1714626442423139174.webp,
4-C3E3EFD3G3VCTN,Kazo Premium - Funan,"Bakery & Cake, Dessert, Cakes & Bakeries, Halal",4.9,20,0.521,True,1.29128860338776,103.850389532962,,https://food-cms.grab.com/compressed_webp/merchants/4-C3E3EFD3G3VCTN/hero/6486ec30-0187-4def-89f4-bcd8085c6705__store_cover__2024__02__15__02__04__50.webp,['zeusPromoShortTag']
4-C2TBC6CDV6UACE,Smooy - Funan,"Dessert, Ice Cream",4.4,25,0.522,False,1.29128860338776,103.850389532962,,https://food-cms.grab.com/compressed_webp/merchants/4-C2TBC6CDV6UACE/hero/be9fb410016c46749fd50c02bc869c57_1620118919518792491.webp,
4-C6E2RBDBNA5GNA,Now Pizza - Funan,"Italian, Pizza, Drinks & Beverages, Dessert",3.7,25,0.522,False,1.29128862,103.8503895,,https://food-cms.grab.com/compressed_webp/merchants/4-C6E2RBDBNA5GNA/hero/684dcd75-8e1e-41f4-914d-edceb0c621c5__store_cover__2024__03__15__02__38__38.webp,
4-CZC2A2DDGZNYBA,Men Men Don - Funan Mall,"Japanese, Noodles, Bento",4.4,30,0.521,False,1.291289,103.85039,,https://food-cms.grab.com/compressed_webp/merchants/4-CZC2A2DDGZNYBA/hero/68d3919a6f1c4a8c95302ff16e566083_1585806066968176337.webp,
4-C3XTAN6WCCLJKA,Sukiya - Funan,"Japanese, Kids Friendly, Drinks & Beverages, Seafood, Halal",4.3,30,0.525,False,1.291289,103.85039,,https://food-cms.grab.com/compressed_webp/merchants/4-C3XTAN6WCCLJKA/hero/7bf758f97e3d4545adce0d2c95b344ac_1669005010942650029.webp,
